# JMH version: 1.35
# VM version: JDK 21.0.10, Java HotSpot(TM) 64-Bit Server VM, 21.0.10+8-LTS-217
# VM invoker: /home/marcelo/.sdkman/candidates/java/21.0.10-oracle/bin/java
# VM options: -Xms1g -Xmx1g -Xms1g -Xmx1g
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 5 iterations, 500 ms each
# Measurement: 10 iterations, 500 ms each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: com.runestone.expeval.perf.jmh.CacheInvalidationCascadeBenchmark.manyVariablesWithMapBatchSet

# Run progress: 0.00% complete, ETA 00:01:07
# Fork: 1 of 3
# Warmup Iteration   1: 2735.365 ns/op
# Warmup Iteration   2: 2520.523 ns/op
# Warmup Iteration   3: 2347.898 ns/op
# Warmup Iteration   4: 1621.014 ns/op
# Warmup Iteration   5: 1642.041 ns/op
Iteration   1: 1645.395 ns/op
Iteration   2: 1646.172 ns/op
Iteration   3: 1723.121 ns/op
Iteration   4: 1635.568 ns/op
Iteration   5: 1645.415 ns/op
Iteration   6: 1675.643 ns/op
Iteration   7: 1636.724 ns/op
Iteration   8: 1606.937 ns/op
Iteration   9: 1627.322 ns/op
Iteration  10: 1695.177 ns/op

# Run progress: 11.11% complete, ETA 00:01:05
# Fork: 2 of 3
# Warmup Iteration   1: 2738.764 ns/op
# Warmup Iteration   2: 2395.870 ns/op
# Warmup Iteration   3: 2030.573 ns/op
# Warmup Iteration   4: 1655.164 ns/op
# Warmup Iteration   5: 1790.293 ns/op
Iteration   1: 1733.813 ns/op
Iteration   2: 1663.180 ns/op
Iteration   3: 1676.780 ns/op
Iteration   4: 1681.885 ns/op
Iteration   5: 1671.340 ns/op
Iteration   6: 1904.556 ns/op
Iteration   7: 1869.994 ns/op
Iteration   8: 1725.928 ns/op
Iteration   9: 1756.946 ns/op
Iteration  10: 1668.655 ns/op

# Run progress: 22.22% complete, ETA 00:00:56
# Fork: 3 of 3
# Warmup Iteration   1: 2573.475 ns/op
# Warmup Iteration   2: 2343.918 ns/op
# Warmup Iteration   3: 2013.513 ns/op
# Warmup Iteration   4: 1723.624 ns/op
# Warmup Iteration   5: 1780.233 ns/op
Iteration   1: 2091.346 ns/op
Iteration   2: 1865.798 ns/op
Iteration   3: 1604.380 ns/op
Iteration   4: 1585.818 ns/op
Iteration   5: 1604.068 ns/op
Iteration   6: 1612.486 ns/op
Iteration   7: 1565.458 ns/op
Iteration   8: 1595.167 ns/op
Iteration   9: 1632.071 ns/op
Iteration  10: 1682.904 ns/op


Result "com.runestone.expeval.perf.jmh.CacheInvalidationCascadeBenchmark.manyVariablesWithMapBatchSet":
  1691.002 ±(99.9%) 74.768 ns/op [Average]
  (min, avg, max) = (1565.458, 1691.002, 2091.346), stdev = 111.909
  CI (99.9%): [1616.234, 1765.770] (assumes normal distribution)


# JMH version: 1.35
