# JMH version: 1.35
# VM version: JDK 21.0.10, Java HotSpot(TM) 64-Bit Server VM, 21.0.10+8-LTS-217
# VM invoker: /home/marcelo/.sdkman/candidates/java/21.0.10-oracle/bin/java
# VM options: -Xms1g -Xmx1g -Xms1g -Xmx1g
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 5 iterations, 500 ms each
# Measurement: 10 iterations, 500 ms each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: com.runestone.expeval.perf.jmh.DynamicFunctionOverheadBenchmark.dynamicConstantFunction

# Run progress: 0.00% complete, ETA 00:01:52
# Fork: 1 of 3
# Warmup Iteration   1: 468.380 ns/op
# Warmup Iteration   2: 181.027 ns/op
# Warmup Iteration   3: 109.385 ns/op
# Warmup Iteration   4: 96.259 ns/op
# Warmup Iteration   5: 91.653 ns/op
Iteration   1: 90.187 ns/op
Iteration   2: 96.046 ns/op
Iteration   3: 112.179 ns/op
Iteration   4: 108.308 ns/op
Iteration   5: 104.049 ns/op
Iteration   6: 104.146 ns/op
Iteration   7: 92.461 ns/op
Iteration   8: 93.085 ns/op
Iteration   9: 110.980 ns/op
Iteration  10: 111.980 ns/op

# Run progress: 6.67% complete, ETA 00:01:54
# Fork: 2 of 3
# Warmup Iteration   1: 450.708 ns/op
# Warmup Iteration   2: 182.823 ns/op
# Warmup Iteration   3: 113.842 ns/op
# Warmup Iteration   4: 103.791 ns/op
# Warmup Iteration   5: 103.613 ns/op
Iteration   1: 100.601 ns/op
Iteration   2: 98.846 ns/op
Iteration   3: 99.893 ns/op
Iteration   4: 106.835 ns/op
Iteration   5: 102.993 ns/op
Iteration   6: 101.404 ns/op
Iteration   7: 100.285 ns/op
Iteration   8: 99.389 ns/op
Iteration   9: 110.374 ns/op
Iteration  10: 117.769 ns/op

# Run progress: 13.33% complete, ETA 00:01:46
# Fork: 3 of 3
# Warmup Iteration   1: 958.777 ns/op
# Warmup Iteration   2: 181.892 ns/op
