# JMH version: 1.35
# VM version: JDK 21.0.10, Java HotSpot(TM) 64-Bit Server VM, 21.0.10+8-LTS-217
# VM invoker: /home/marcelo/.sdkman/candidates/java/21.0.10-oracle/bin/java
# VM options: -Xms1g -Xmx1g -Xms1g -Xmx1g
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 5 iterations, 500 ms each
# Measurement: 10 iterations, 500 ms each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: com.runestone.expeval.perf.jmh.DynamicFunctionOverheadBenchmark.dynamicConstantFunction

# Run progress: 0.00% complete, ETA 00:01:52
# Fork: 1 of 3
# Warmup Iteration   1: 434.716 ns/op
# Warmup Iteration   2: 309.603 ns/op
# Warmup Iteration   3: 163.952 ns/op
# Warmup Iteration   4: 163.685 ns/op
# Warmup Iteration   5: 165.588 ns/op
Iteration   1: 165.302 ns/op
Iteration   2: 157.468 ns/op
Iteration   3: 158.013 ns/op
Iteration   4: 162.340 ns/op
Iteration   5: 162.936 ns/op
Iteration   6: 174.350 ns/op
Iteration   7: 162.998 ns/op
Iteration   8: 163.917 ns/op
Iteration   9: 168.040 ns/op
Iteration  10: 157.863 ns/op

# Run progress: 6.67% complete, ETA 00:01:54
# Fork: 2 of 3
# Warmup Iteration   1: 443.857 ns/op
# Warmup Iteration   2: 334.968 ns/op
# Warmup Iteration   3: 162.325 ns/op
# Warmup Iteration   4: 181.436 ns/op
# Warmup Iteration   5: 184.191 ns/op
Iteration   1: 152.310 ns/op
Iteration   2: 153.723 ns/op
Iteration   3: 157.508 ns/op
Iteration   4: 154.253 ns/op
Iteration   5: 173.860 ns/op
Iteration   6: 158.121 ns/op
Iteration   7: 164.464 ns/op
Iteration   8: 159.335 ns/op
Iteration   9: 168.115 ns/op
Iteration  10: 165.315 ns/op

# Run progress: 13.33% complete, ETA 00:01:46
# Fork: 3 of 3
# Warmup Iteration   1: 395.148 ns/op
# Warmup Iteration   2: 270.691 ns/op
# Warmup Iteration   3: 153.188 ns/op
# Warmup Iteration   4: 155.969 ns/op
# Warmup Iteration   5: 158.991 ns/op
Iteration   1: 158.216 ns/op
Iteration   2: 153.940 ns/op
Iteration   3: 155.570 ns/op
Iteration   4: 157.380 ns/op
Iteration   5: 157.604 ns/op
Iteration   6: 158.949 ns/op
Iteration   7: 162.093 ns/op
Iteration   8: 161.524 ns/op
Iteration   9: 172.290 ns/op
Iteration  10: 163.743 ns/op


Result "com.runestone.expeval.perf.jmh.DynamicFunctionOverheadBenchmark.dynamicConstantFunction":
  161.385 ±(99.9%) 3.898 ns/op [Average]
  (min, avg, max) = (152.310, 161.385, 174.350), stdev = 5.835
  CI (99.9%): [157.486, 165.283] (assumes normal distribution)


# JMH version: 1.35
# VM version: JDK 21.0.10, Java HotSpot(TM) 64-Bit Server VM, 21.0.10+8-LTS-217
# VM invoker: /home/marcelo/.sdkman/candidates/java/21.0.10-oracle/bin/java
# VM options: -Xms1g -Xmx1g -Xms1g -Xmx1g
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 5 iterations, 500 ms each
# Measurement: 10 iterations, 500 ms each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: com.runestone.expeval.perf.jmh.DynamicFunctionOverheadBenchmark.dynamicFunctionInsideSequence

# Run progress: 20.00% complete, ETA 00:01:37
# Fork: 1 of 3
# Warmup Iteration   1: 4195.553 ns/op
# Warmup Iteration   2: 2774.156 ns/op
# Warmup Iteration   3: 1553.088 ns/op
# Warmup Iteration   4: 1497.446 ns/op
# Warmup Iteration   5: 1464.182 ns/op
Iteration   1: 1426.747 ns/op
Iteration   2: 1510.522 ns/op
Iteration   3: 1490.972 ns/op
Iteration   4: 1521.087 ns/op
Iteration   5: 1466.504 ns/op
Iteration   6: 1509.204 ns/op
Iteration   7: 1476.491 ns/op
Iteration   8: 1698.603 ns/op
Iteration   9: 1839.260 ns/op
Iteration  10: 1822.999 ns/op

# Run progress: 26.67% complete, ETA 00:01:29
# Fork: 2 of 3
# Warmup Iteration   1: 4412.611 ns/op
# Warmup Iteration   2: 3186.090 ns/op
# Warmup Iteration   3: 1728.525 ns/op
# Warmup Iteration   4: 1529.495 ns/op
# Warmup Iteration   5: 1875.934 ns/op
Iteration   1: 1679.273 ns/op
Iteration   2: 1547.618 ns/op
Iteration   3: 1572.665 ns/op
Iteration   4: 1537.026 ns/op
Iteration   5: 1519.847 ns/op
Iteration   6: 1504.877 ns/op
Iteration   7: 1532.838 ns/op
Iteration   8: 1542.591 ns/op
Iteration   9: 1603.038 ns/op
Iteration  10: 1659.430 ns/op

# Run progress: 33.33% complete, ETA 00:01:21
# Fork: 3 of 3
# Warmup Iteration   1: 4007.750 ns/op
# Warmup Iteration   2: 2847.642 ns/op
# Warmup Iteration   3: 1613.963 ns/op
# Warmup Iteration   4: 1467.271 ns/op
# Warmup Iteration   5: 1531.864 ns/op
Iteration   1: 1529.863 ns/op
Iteration   2: 1487.933 ns/op
Iteration   3: 1503.441 ns/op
Iteration   4: 1520.722 ns/op
Iteration   5: 1893.618 ns/op
Iteration   6: 1495.532 ns/op
Iteration   7: 1474.215 ns/op
Iteration   8: 1445.534 ns/op
Iteration   9: 1503.128 ns/op
Iteration  10: 1509.491 ns/op


Result "com.runestone.expeval.perf.jmh.DynamicFunctionOverheadBenchmark.dynamicFunctionInsideSequence":
  1560.836 ±(99.9%) 78.089 ns/op [Average]
  (min, avg, max) = (1426.747, 1560.836, 1893.618), stdev = 116.880
  CI (99.9%): [1482.746, 1638.925] (assumes normal distribution)


# JMH version: 1.35
# VM version: JDK 21.0.10, Java HotSpot(TM) 64-Bit Server VM, 21.0.10+8-LTS-217
# VM invoker: /home/marcelo/.sdkman/candidates/java/21.0.10-oracle/bin/java
# VM options: -Xms1g -Xmx1g -Xms1g -Xmx1g
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 5 iterations, 500 ms each
# Measurement: 10 iterations, 500 ms each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: com.runestone.expeval.perf.jmh.DynamicFunctionOverheadBenchmark.dynamicVariableFunction

# Run progress: 40.00% complete, ETA 00:01:13
# Fork: 1 of 3
# Warmup Iteration   1: 723.523 ns/op
# Warmup Iteration   2: 471.390 ns/op
# Warmup Iteration   3: 275.762 ns/op
# Warmup Iteration   4: 252.415 ns/op
# Warmup Iteration   5: 258.642 ns/op
Iteration   1: 275.467 ns/op
Iteration   2: 262.302 ns/op
Iteration   3: 257.165 ns/op
Iteration   4: 258.750 ns/op
Iteration   5: 262.728 ns/op
Iteration   6: 261.309 ns/op
Iteration   7: 264.218 ns/op
Iteration   8: 268.445 ns/op
Iteration   9: 281.215 ns/op
Iteration  10: 275.397 ns/op

# Run progress: 46.67% complete, ETA 00:01:05
# Fork: 2 of 3
# Warmup Iteration   1: 2288.807 ns/op
# Warmup Iteration   2: 562.588 ns/op
