# JMH version: 1.35
# VM version: JDK 21.0.10, Java HotSpot(TM) 64-Bit Server VM, 21.0.10+8-LTS-217
# VM invoker: /home/marcelo/.sdkman/candidates/java/21.0.10-oracle/bin/java
# VM options: -Xms1g -Xmx1g -Xms1g -Xmx1g
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 5 iterations, 500 ms each
# Measurement: 10 iterations, 500 ms each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: com.runestone.expeval.perf.jmh.FunctionRegistrationOverheadBenchmark.createCallSitesFromProviderClass

# Run progress: 0.00% complete, ETA 00:01:30
# Fork: 1 of 3
# Warmup Iteration   1: 169.573 ns/op
# Warmup Iteration   2: 97.958 ns/op
# Warmup Iteration   3: 68.288 ns/op
# Warmup Iteration   4: 67.284 ns/op
# Warmup Iteration   5: 67.347 ns/op
Iteration   1: 66.347 ns/op
Iteration   2: 66.290 ns/op
Iteration   3: 67.672 ns/op
Iteration   4: 67.964 ns/op
Iteration   5: 68.220 ns/op
Iteration   6: 67.494 ns/op
Iteration   7: 65.374 ns/op
Iteration   8: 70.081 ns/op
Iteration   9: 66.281 ns/op
Iteration  10: 65.833 ns/op

# Run progress: 8.33% complete, ETA 00:01:27
# Fork: 2 of 3
# Warmup Iteration   1: 157.288 ns/op
# Warmup Iteration   2: 96.819 ns/op
# Warmup Iteration   3: 64.449 ns/op
# Warmup Iteration   4: 63.375 ns/op
# Warmup Iteration   5: 62.352 ns/op
Iteration   1: 63.560 ns/op
Iteration   2: 64.294 ns/op
Iteration   3: 66.915 ns/op
Iteration   4: 63.358 ns/op
Iteration   5: 62.429 ns/op
Iteration   6: 66.294 ns/op
Iteration   7: 71.670 ns/op
Iteration   8: 72.987 ns/op
Iteration   9: 76.598 ns/op
Iteration  10: 71.124 ns/op

# Run progress: 16.67% complete, ETA 00:01:18
# Fork: 3 of 3
# Warmup Iteration   1: 153.389 ns/op
# Warmup Iteration   2: 88.298 ns/op
# Warmup Iteration   3: 63.151 ns/op
# Warmup Iteration   4: 62.537 ns/op
# Warmup Iteration   5: 63.559 ns/op
