# JMH version: 1.35
# VM version: JDK 21.0.10, Java HotSpot(TM) 64-Bit Server VM, 21.0.10+8-LTS-217
# VM invoker: /home/marcelo/.sdkman/candidates/java/21.0.10-oracle/bin/java
# VM options: -Xms1g -Xmx1g -Xms1g -Xmx1g
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 5 iterations, 500 ms each
# Measurement: 10 iterations, 500 ms each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: com.runestone.expeval.perf.jmh.TypeConversionHotPathBenchmark.alternatingTypeConversion

# Run progress: 0.00% complete, ETA 00:01:07
# Fork: 1 of 3
# Warmup Iteration   1: 10.850 ns/op
# Warmup Iteration   2: 10.440 ns/op
# Warmup Iteration   3: 9.806 ns/op
# Warmup Iteration   4: 9.930 ns/op
# Warmup Iteration   5: 9.700 ns/op
Iteration   1: 9.850 ns/op
Iteration   2: 9.914 ns/op
Iteration   3: 10.256 ns/op
Iteration   4: 9.962 ns/op
Iteration   5: 9.699 ns/op
Iteration   6: 9.743 ns/op
Iteration   7: 9.793 ns/op
Iteration   8: 9.796 ns/op
Iteration   9: 9.806 ns/op
Iteration  10: 9.624 ns/op

# Run progress: 11.11% complete, ETA 00:01:03
# Fork: 2 of 3
# Warmup Iteration   1: 10.240 ns/op
# Warmup Iteration   2: 10.323 ns/op
# Warmup Iteration   3: 10.227 ns/op
# Warmup Iteration   4: 10.229 ns/op
# Warmup Iteration   5: 10.835 ns/op
Iteration   1: 10.229 ns/op
Iteration   2: 10.163 ns/op
Iteration   3: 10.693 ns/op
Iteration   4: 10.678 ns/op
Iteration   5: 10.719 ns/op
Iteration   6: 10.321 ns/op
Iteration   7: 10.240 ns/op
Iteration   8: 10.372 ns/op
Iteration   9: 10.419 ns/op
Iteration  10: 10.463 ns/op

# Run progress: 22.22% complete, ETA 00:00:55
# Fork: 3 of 3
# Warmup Iteration   1: 10.321 ns/op
# Warmup Iteration   2: 9.915 ns/op
# Warmup Iteration   3: 9.941 ns/op
# Warmup Iteration   4: 10.147 ns/op
# Warmup Iteration   5: 9.727 ns/op
Iteration   1: 10.323 ns/op
Iteration   2: 9.664 ns/op
Iteration   3: 9.814 ns/op
Iteration   4: 10.816 ns/op
Iteration   5: 9.733 ns/op
Iteration   6: 9.700 ns/op
Iteration   7: 9.851 ns/op
Iteration   8: 10.148 ns/op
Iteration   9: 9.864 ns/op
Iteration  10: 9.849 ns/op


Result "com.runestone.expeval.perf.jmh.TypeConversionHotPathBenchmark.alternatingTypeConversion":
  10.083 ±(99.9%) 0.239 ns/op [Average]
  (min, avg, max) = (9.624, 10.083, 10.816), stdev = 0.357
  CI (99.9%): [9.845, 10.322] (assumes normal distribution)


# JMH version: 1.35
# VM version: JDK 21.0.10, Java HotSpot(TM) 64-Bit Server VM, 21.0.10+8-LTS-217
# VM invoker: /home/marcelo/.sdkman/candidates/java/21.0.10-oracle/bin/java
# VM options: -Xms1g -Xmx1g -Xms1g -Xmx1g
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 5 iterations, 500 ms each
# Measurement: 10 iterations, 500 ms each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: com.runestone.expeval.perf.jmh.TypeConversionHotPathBenchmark.baseOperationDoubleNormalization

# Run progress: 33.33% complete, ETA 00:00:47
# Fork: 1 of 3
# Warmup Iteration   1: 768.742 ns/op
# Warmup Iteration   2: 437.131 ns/op
# Warmup Iteration   3: 285.674 ns/op
# Warmup Iteration   4: 250.584 ns/op
# Warmup Iteration   5: 248.020 ns/op
Iteration   1: 247.048 ns/op
Iteration   2: 320.300 ns/op
Iteration   3: 324.320 ns/op
Iteration   4: 312.144 ns/op
Iteration   5: 316.625 ns/op
Iteration   6: 308.513 ns/op
Iteration   7: 296.307 ns/op
Iteration   8: 318.292 ns/op
