# JMH version: 1.35
# VM version: JDK 21.0.10, Java HotSpot(TM) 64-Bit Server VM, 21.0.10+8-LTS-217
# VM invoker: /home/marcelo/.sdkman/candidates/java/21.0.10-oracle/bin/java
# VM options: -Xms1g -Xmx1g -Xms1g -Xmx1g
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 5 iterations, 500 ms each
# Measurement: 10 iterations, 500 ms each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: com.runestone.expeval.perf.jmh.TypeConversionHotPathBenchmark.alternatingTypeConversion

# Run progress: 0.00% complete, ETA 00:01:07
# Fork: 1 of 3
# Warmup Iteration   1: 10.822 ns/op
# Warmup Iteration   2: 9.730 ns/op
# Warmup Iteration   3: 10.300 ns/op
# Warmup Iteration   4: 10.324 ns/op
# Warmup Iteration   5: 10.190 ns/op
Iteration   1: 11.191 ns/op
Iteration   2: 11.044 ns/op
Iteration   3: 10.131 ns/op
Iteration   4: 10.308 ns/op
Iteration   5: 10.296 ns/op
Iteration   6: 10.748 ns/op
Iteration   7: 10.619 ns/op
Iteration   8: 10.564 ns/op
Iteration   9: 10.616 ns/op
Iteration  10: 10.430 ns/op

# Run progress: 11.11% complete, ETA 00:01:03
# Fork: 2 of 3
# Warmup Iteration   1: 10.322 ns/op
# Warmup Iteration   2: 10.271 ns/op
# Warmup Iteration   3: 10.084 ns/op
# Warmup Iteration   4: 9.982 ns/op
# Warmup Iteration   5: 9.973 ns/op
Iteration   1: 9.788 ns/op
Iteration   2: 9.693 ns/op
Iteration   3: 9.845 ns/op
Iteration   4: 9.688 ns/op
Iteration   5: 9.773 ns/op
Iteration   6: 9.993 ns/op
Iteration   7: 9.822 ns/op
Iteration   8: 9.901 ns/op
Iteration   9: 9.691 ns/op
Iteration  10: 9.683 ns/op

# Run progress: 22.22% complete, ETA 00:00:55
# Fork: 3 of 3
# Warmup Iteration   1: 10.273 ns/op
# Warmup Iteration   2: 9.753 ns/op
# Warmup Iteration   3: 10.158 ns/op
# Warmup Iteration   4: 10.270 ns/op
# Warmup Iteration   5: 10.147 ns/op
Iteration   1: 10.106 ns/op
Iteration   2: 10.286 ns/op
Iteration   3: 10.301 ns/op
Iteration   4: 10.255 ns/op
Iteration   5: 10.249 ns/op
Iteration   6: 10.297 ns/op
Iteration   7: 10.290 ns/op
Iteration   8: 10.378 ns/op
Iteration   9: 10.288 ns/op
Iteration  10: 10.378 ns/op


Result "com.runestone.expeval.perf.jmh.TypeConversionHotPathBenchmark.alternatingTypeConversion":
  10.222 ±(99.9%) 0.262 ns/op [Average]
  (min, avg, max) = (9.683, 10.222, 11.191), stdev = 0.392
  CI (99.9%): [9.960, 10.484] (assumes normal distribution)


# JMH version: 1.35
# VM version: JDK 21.0.10, Java HotSpot(TM) 64-Bit Server VM, 21.0.10+8-LTS-217
# VM invoker: /home/marcelo/.sdkman/candidates/java/21.0.10-oracle/bin/java
# VM options: -Xms1g -Xmx1g -Xms1g -Xmx1g
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 5 iterations, 500 ms each
# Measurement: 10 iterations, 500 ms each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: com.runestone.expeval.perf.jmh.TypeConversionHotPathBenchmark.baseOperationDoubleNormalization

# Run progress: 33.33% complete, ETA 00:00:47
# Fork: 1 of 3
# Warmup Iteration   1: 845.349 ns/op
# Warmup Iteration   2: 433.073 ns/op
# Warmup Iteration   3: 280.736 ns/op
# Warmup Iteration   4: 259.366 ns/op
# Warmup Iteration   5: 253.221 ns/op
Iteration   1: 245.879 ns/op
Iteration   2: 335.716 ns/op
Iteration   3: 336.240 ns/op
Iteration   4: 346.571 ns/op
Iteration   5: 334.293 ns/op
Iteration   6: 325.211 ns/op
Iteration   7: 303.576 ns/op
Iteration   8: 309.148 ns/op
Iteration   9: 309.350 ns/op
Iteration  10: 312.201 ns/op

# Run progress: 44.44% complete, ETA 00:00:39
# Fork: 2 of 3
# Warmup Iteration   1: 893.409 ns/op
# Warmup Iteration   2: 467.066 ns/op
# Warmup Iteration   3: 327.091 ns/op
# Warmup Iteration   4: 268.486 ns/op
# Warmup Iteration   5: 249.839 ns/op
Iteration   1: 250.842 ns/op
Iteration   2: 328.257 ns/op
Iteration   3: 336.608 ns/op
Iteration   4: 325.931 ns/op
Iteration   5: 326.932 ns/op
Iteration   6: 329.020 ns/op
Iteration   7: 297.528 ns/op
Iteration   8: 301.863 ns/op
